node_queried_id	relation_id	node_associated_id
NCBIGene:55768	RO:0002327	['GO:0046872', 'GO:0005515']
NCBIGene:55768	RO:0002331	['GO:0006457', 'KEGG-path:map04141', 'GO:0006517', 'REACT:R-HSA-532668']
NCBIGene:55768		['OMIM:615273']
NCBIGene:55768	BFO:0000050	['GO:0005737', 'GO:0005634', 'GO:0005829']
['NCBIGene:55768']		Coriell:GM25340
['NCBIGene:55768']		:.well-known/genid/person-GM25990
['NCBIGene:55768']		:.well-known/genid/person-3200-1
['NCBIGene:55768']		Coriell:GM25990
['NCBIGene:55768']		:.well-known/genid/person-3199-1
['NCBIGene:55768']		:.well-known/genid/person-3213-1
