gene_id	item	itemLabel	altLabel	itemDesc
NCBIGene:10906	Q18035937	TRAFD1	FLN29|TRAF-type zinc finger domain containing 1|TRAFD1	protein-coding gene in the species Homo sapiens
NCBIGene:11124	Q18036138	FAF1	CGI-03|FAF1|Fas associated factor 1|hFAF1|HFAF1s|UBXD12|UBXN3A	protein-coding gene in the species Homo sapiens
NCBIGene:137886	Q18050699	UBXN2B	UBX domain protein 2B|p37|UBXN2B	protein-coding gene in the species Homo sapiens
NCBIGene:1956	Q14865565	EGFR	epidermal growth factor receptor|ERBB1|ERBB|HER1|mENA|NISBD2|PIG61	gene of the species Homo sapiens
NCBIGene:26270	Q18038207	FBXO6	F-box protein 6|FBG2|Fbx6b|FBXO6|FBS2|FBX6	protein-coding gene in the species Homo sapiens
NCBIGene:29979	Q18039745	UBQLN1	PLIC-1|UBQLN1|DA41|DSK2|ubiquilin 1|UBQN|XDRP1	protein-coding gene in the species Homo sapiens
NCBIGene:351	Q14865870	APP	AAA|ABPP|amyloid beta precursor protein|APP|APPI|CVAP|PN-II|AD1|ABETA|CTFgamma|PN2	protein-coding gene in the species Homo sapiens
NCBIGene:55968	Q18042189	NSFL1C	P47|UBXD10|NSFL1 cofactor|NSFL1C|dJ776F14.1|UBX1|UBXN2C	protein-coding gene in the species Homo sapiens
NCBIGene:57159	Q18042939	TRIM54	TRIM54|MURF|MURF-3|muRF3|RNF30|tripartite motif containing 54	gene of the species Homo sapiens
NCBIGene:5886	Q18031011	RAD23A	RAD23 homolog A, nucleotide excision repair protein|RAD23A|HR23A|HHR23A	protein-coding gene in the species Homo sapiens
NCBIGene:5887	Q18031013	RAD23B	P58|HHR23B|HR23B|RAD23 homolog B, nucleotide excision repair protein|RAD23B	protein-coding gene in the species Homo sapiens
NCBIGene:6733	Q18031717	SRPK2	SRPK2|SRSF protein kinase 2|SFRSK2	protein-coding gene in the species Homo sapiens
NCBIGene:7415	Q18032318	VCP	IBMPFD|p97|TERA|VCP|CDC48|valosin containing protein|ALS14|CMT2Y|HEL-220|HEL-S-70|IBMPFD1|Valosin-containing protein	protein-coding gene in the species Homo sapiens
NCBIGene:79139	Q18046019	DERL1	DERL1|DER1|derlin 1|DER-1|derlin-1	protein-coding gene in the species Homo sapiens
NCBIGene:83606	Q18047210	GUCD1	GUCD1|C22orf13|guanylyl cyclase domain containing 1|LLN4	protein-coding gene in the species Homo sapiens
NCBIGene:84866	Q18047818	TMEM25	TMEM25|transmembrane protein 25	protein-coding gene in the species Homo sapiens
NCBIGene:8702	Q18033227	B4GALT4	beta4Gal-T4|B4GALT4|B4Gal-T4|beta-1,4-galactosyltransferase 4	protein-coding gene in the species Homo sapiens
